Cytokine_X,CytokineY,SpearmanRho,p
PCSK9 (RNA),IL2,-0.09,0.225370799378499
PCSK9 (RNA),IL4,-0.105,0.181909786398896
IL2,IL4,0.833,0
PCSK9 (RNA),IL5,-0.087,0.244464580813924
IL2,IL5,0.752,0
IL4,IL5,0.802,0
PCSK9 (RNA),IL6,-0.173,0.017467544524578
IL2,IL6,0.572,0
IL4,IL6,0.534,0
IL5,IL6,0.655,0
PCSK9 (RNA),IL8,-0.054,0.474276157309745
IL2,IL8,-0.036,0.663611929745519
IL4,IL8,0.057,0.507316122300938
IL5,IL8,0.02,0.805737371525466
IL6,IL8,0.228,0.00344100588594634
PCSK9 (RNA),IL9,0.014,0.839978689089246
IL2,IL9,0.003,0.966823821269316
IL4,IL9,0.046,0.582377731659231
IL5,IL9,0.094,0.247089016725156
IL6,IL9,0.001,0.987890384785563
IL8,IL9,0.129,0.108878673966148
PCSK9 (RNA),IL10,-0.072,0.371388691577376
IL2,IL10,0.842,0
IL4,IL10,0.849,0
IL5,IL10,0.715,0
IL6,IL10,0.57,0
IL8,IL10,-0.056,0.516454824855175
IL9,IL10,0.064,0.461678583951782
PCSK9 (RNA),IL12,-0.066,0.399184823282976
IL2,IL12,0.86,0
IL4,IL12,0.885,0
IL5,IL12,0.76,0
IL6,IL12,0.54,0
IL8,IL12,-0.054,0.519641941251613
IL9,IL12,0.027,0.748145418752078
IL10,IL12,0.938,0
PCSK9 (RNA),IL13 (L),0.023,0.724023507560491
IL2,IL13 (L),-0.071,0.349335508751844
IL4,IL13 (L),-0.074,0.356143326172373
IL5,IL13 (L),-0.038,0.618644551926116
IL6,IL13 (L),-0.025,0.743359288822487
IL8,IL13 (L),0.163,0.0328732922807906
IL9,IL13 (L),0.827,0
IL10,IL13 (L),-0.161,0.0479562902663003
IL12,IL13 (L),-0.166,0.0360117410703435
PCSK9 (RNA),IL21 (L),0.008,0.901971819091578
IL2,IL21 (L),-0.036,0.634541782711256
IL4,IL21 (L),-0.044,0.586829402858139
IL5,IL21 (L),-0.02,0.791441591948347
IL6,IL21 (L),-0.034,0.647948145908006
IL8,IL21 (L),0.193,0.0114122840251735
IL9,IL21 (L),0.828,0
IL10,IL21 (L),-0.127,0.119555009403544
IL12,IL21 (L),-0.136,0.0857059135971668
IL13 (L),IL21 (L),0.964,0
PCSK9 (RNA),INFG,-0.086,0.261049716252666
IL2,INFG,0.861,0
IL4,INFG,0.838,0
IL5,INFG,0.742,0
IL6,INFG,0.458,1.31530444700205e-09
IL8,INFG,-0.112,0.166135836050822
IL9,INFG,0.065,0.42692248559317
IL10,INFG,0.955,0
IL12,INFG,0.924,0
IL13 (L),INFG,-0.075,0.334483526096204
IL21 (L),INFG,-0.039,0.616413375626858
PCSK9 (RNA),TNFA,-0.061,0.438863958647257
IL2,TNFA,0.775,0
IL4,TNFA,0.8,0
IL5,TNFA,0.778,0
IL6,TNFA,0.593,0
IL8,TNFA,0.019,0.823267968897643
IL9,TNFA,0.045,0.597547099021309
IL10,TNFA,0.82,0
IL12,TNFA,0.791,0
IL13 (L),TNFA,-0.114,0.154199544107454
IL21 (L),TNFA,-0.091,0.25779539225251
INFG,TNFA,0.81,0
PCSK9 (RNA),MIF (L),0.053,0.424747325613962
IL2,MIF (L),0.004,0.962067247521955
IL4,MIF (L),0.034,0.674791776357461
IL5,MIF (L),0.023,0.764247235612941
IL6,MIF (L),-0.035,0.642666394099112
IL8,MIF (L),-0.145,0.056958917121692
IL9,MIF (L),0.023,0.735216103465375
IL10,MIF (L),-0.065,0.426854261048943
IL12,MIF (L),-0.069,0.385722513653901
IL13 (L),MIF (L),0.113,0.0885335466274582
IL21 (L),MIF (L),0.087,0.18745381798147
INFG,MIF (L),0.049,0.52816965880512
TNFA,MIF (L),0.027,0.734628466095901
PCSK9 (RNA),MCP1 (L),0.046,0.488294160916479
IL2,MCP1 (L),0.041,0.594585867071839
IL4,MCP1 (L),0.053,0.511100557457487
IL5,MCP1 (L),-0.005,0.952737617066223
IL6,MCP1 (L),0.068,0.368244292803931
IL8,MCP1 (L),0.261,0.000575629160595724
IL9,MCP1 (L),0.265,0.000105768976162242
IL10,MCP1 (L),-0.085,0.300012639166837
IL12,MCP1 (L),-0.053,0.510297697524534
IL13 (L),MCP1 (L),0.335,2.6154816159904e-07
IL21 (L),MCP1 (L),0.281,1.83459418374593e-05
INFG,MCP1 (L),0.016,0.833320759087565
TNFA,MCP1 (L),0.032,0.688871548583125
MIF (L),MCP1 (L),0.347,9.13796729562267e-08
PCSK9 (RNA),MIP1a (L),-0.01,0.886396477079202
IL2,MIP1a (L),0.048,0.542642838800446
IL4,MIP1a (L),0.005,0.948335538421083
IL5,MIP1a (L),0.024,0.768826095525123
IL6,MIP1a (L),-0.029,0.704213544693709
IL8,MIP1a (L),0.223,0.00473846868044803
IL9,MIP1a (L),0.842,0
IL10,MIP1a (L),-0.035,0.678536148534223
IL12,MIP1a (L),-0.038,0.651378243554989
IL13 (L),MIP1a (L),0.839,0
IL21 (L),MIP1a (L),0.916,0
INFG,MIP1a (L),0.061,0.451803766728622
TNFA,MIP1a (L),-0.011,0.890923527159257
MIF (L),MIP1a (L),0.043,0.52901615982864
MCP1 (L),MIP1a (L),0.313,3.30396111772886e-06
PCSK9 (RNA),RANTES (L),0.019,0.77184779780001
IL2,RANTES (L),0.076,0.318456172979951
IL4,RANTES (L),0.072,0.374480936647686
IL5,RANTES (L),0.125,0.105040757931014
IL6,RANTES (L),-0.019,0.80664109183734
IL8,RANTES (L),-0.021,0.781347686153354
IL9,RANTES (L),0.148,0.0325266541434572
IL10,RANTES (L),0.023,0.783381902517522
IL12,RANTES (L),0.038,0.63978049448895
IL13 (L),RANTES (L),0.203,0.00214906409830533
IL21 (L),RANTES (L),0.185,0.00544098521153061
INFG,RANTES (L),0.141,0.070874451371551
TNFA,RANTES (L),0.121,0.133131243606833
MIF (L),RANTES (L),0.436,9.19643406605974e-12
MCP1 (L),RANTES (L),0.397,9.21228350624311e-10
MIP1a (L),RANTES (L),0.187,0.0061234728380583
PCSK9 (RNA),MIG (L),0.035,0.601669211492988
IL2,MIG (L),-0.031,0.687298515098051
IL4,MIG (L),-0.039,0.631321828687914
IL5,MIG (L),0.01,0.894989759499502
IL6,MIG (L),0.064,0.397434757599477
IL8,MIG (L),0.262,0.000590528356041747
IL9,MIG (L),0.776,0
IL10,MIG (L),-0.1,0.225067644666709
IL12,MIG (L),-0.083,0.303665696223915
IL13 (L),MIG (L),0.814,0
IL21 (L),MIG (L),0.815,0
INFG,MIG (L),-0.07,0.375047054788111
TNFA,MIG (L),-0.071,0.380984508584598
MIF (L),MIG (L),-0.19,0.00410575087363431
MCP1 (L),MIG (L),0.172,0.00980974831799931
MIP1a (L),MIG (L),0.794,0
RANTES (L),MIG (L),0.036,0.588999545230148
PCSK9 (RNA),IP10 (L),0.012,0.868174474342063
IL2,IP10 (L),0.026,0.743230237715649
IL4,IP10 (L),0.023,0.78478321436777
IL5,IP10 (L),0.071,0.386525472345202
IL6,IP10 (L),0.128,0.102569300075887
IL8,IP10 (L),0.158,0.0499775699574835
IL9,IP10 (L),0.668,0
IL10,IP10 (L),0.05,0.560556876120549
IL12,IP10 (L),0.012,0.883334028065737
IL13 (L),IP10 (L),0.703,0
IL21 (L),IP10 (L),0.615,0
INFG,IP10 (L),0.044,0.584576564977218
TNFA,IP10 (L),0.066,0.434087428002122
MIF (L),IP10 (L),0.037,0.599527150207656
MCP1 (L),IP10 (L),0.414,8.8943998609347e-10
MIP1a (L),IP10 (L),0.518,0
RANTES (L),IP10 (L),0.254,0.000240272930759023
MIG (L),IP10 (L),0.632,0
PCSK9 (RNA),Eotaxin1 (L),-0.013,0.839629002457312
IL2,Eotaxin1 (L),0.012,0.871541395835131
IL4,Eotaxin1 (L),-0.045,0.57212743654725
IL5,Eotaxin1 (L),-0.007,0.928592008719237
IL6,Eotaxin1 (L),0.005,0.944637293424241
IL8,Eotaxin1 (L),0.244,0.00128980628695901
IL9,Eotaxin1 (L),0.755,0
IL10,Eotaxin1 (L),-0.116,0.157399134130753
IL12,Eotaxin1 (L),-0.097,0.222701478367562
IL13 (L),Eotaxin1 (L),0.847,0
IL21 (L),Eotaxin1 (L),0.923,0
INFG,Eotaxin1 (L),-0.014,0.853391347482612
TNFA,Eotaxin1 (L),-0.069,0.388091573420049
MIF (L),Eotaxin1 (L),-0.041,0.540347734665638
MCP1 (L),Eotaxin1 (L),0.239,0.000273741591239642
MIP1a (L),Eotaxin1 (L),0.948,0
RANTES (L),Eotaxin1 (L),0.134,0.0439302411529746
MIG (L),Eotaxin1 (L),0.842,0
IP10 (L),Eotaxin1 (L),0.471,0
PCSK9 (RNA),TARC (L),0.058,0.409567888890466
IL2,TARC (L),-0.019,0.814970445236918
IL4,TARC (L),0.049,0.568229945344006
IL5,TARC (L),0.079,0.346470146098914
IL6,TARC (L),-0.11,0.174419608044348
IL8,TARC (L),-0.014,0.861581064981464
IL9,TARC (L),0.741,0
IL10,TARC (L),0.046,0.607714123893002
IL12,TARC (L),-0.005,0.953387581235997
IL13 (L),TARC (L),0.743,0
IL21 (L),TARC (L),0.737,0
INFG,TARC (L),0.153,0.0684480185219751
TNFA,TARC (L),0.001,0.988219492531884
MIF (L),TARC (L),0.25,0.00032672576029141
MCP1 (L),TARC (L),0.274,8.23110090949923e-05
MIP1a (L),TARC (L),0.661,0
RANTES (L),TARC (L),0.412,1.61046639125068e-09
MIG (L),TARC (L),0.556,0
IP10 (L),TARC (L),0.525,0
Eotaxin1 (L),TARC (L),0.606,0
PCSK9 (RNA),PARC (L),0.039,0.559138805282621
IL2,PARC (L),-0.114,0.134131043638874
IL4,PARC (L),-0.087,0.275818253031226
IL5,PARC (L),-0.087,0.256670478998843
IL6,PARC (L),-0.049,0.513158687601481
IL8,PARC (L),-0.043,0.575382701106106
IL9,PARC (L),-0.08,0.250870645083361
IL10,PARC (L),-0.121,0.139395374244808
IL12,PARC (L),-0.187,0.0182554604942092
IL13 (L),PARC (L),0.038,0.562952753698758
IL21 (L),PARC (L),-0.101,0.127942471474204
INFG,PARC (L),-0.127,0.101685662135451
TNFA,PARC (L),-0.069,0.389307191597784
MIF (L),PARC (L),0.512,0
MCP1 (L),PARC (L),0.427,2.14322693518173e-11
MIP1a (L),PARC (L),-0.187,0.00608358790813088
RANTES (L),PARC (L),0.405,3.7249966312373e-10
MIG (L),PARC (L),-0.273,3.37438118020681e-05
IP10 (L),PARC (L),0.175,0.0116738551302701
Eotaxin1 (L),PARC (L),-0.266,4.80986577595507e-05
TARC (L),PARC (L),0.147,0.0361999640325135
PCSK9 (RNA),MDC (L),0.077,0.263245783587515
IL2,MDC (L),0.021,0.786845347182264
IL4,MDC (L),-0.032,0.704206335176471
IL5,MDC (L),-0.014,0.86290310457432
IL6,MDC (L),-0.051,0.508927407589748
IL8,MDC (L),0.099,0.2144586595225
IL9,MDC (L),0.714,0
IL10,MDC (L),-0.03,0.72346112446885
IL12,MDC (L),-0.072,0.384003695115445
IL13 (L),MDC (L),0.661,0
IL21 (L),MDC (L),0.702,0
INFG,MDC (L),0.11,0.174038098745157
TNFA,MDC (L),-0.021,0.800724689916607
MIF (L),MDC (L),0.282,2.87920274506168e-05
MCP1 (L),MDC (L),0.407,7.81753825927561e-10
MIP1a (L),MDC (L),0.776,0
RANTES (L),MDC (L),0.431,5.61193123735184e-11
MIG (L),MDC (L),0.47,0
IP10 (L),MDC (L),0.451,3.56622396085656e-11
Eotaxin1 (L),MDC (L),0.67,0
TARC (L),MDC (L),0.749,0
PARC (L),MDC (L),0.127,0.0630006875700804
PCSK9 (RNA),OPG (L),0.047,0.474088130315258
IL2,OPG (L),-0.046,0.542693012463812
IL4,OPG (L),0.04,0.618027803236206
IL5,OPG (L),0.031,0.682414005966863
IL6,OPG (L),0.082,0.274057938035866
IL8,OPG (L),0.074,0.336829815518467
IL9,OPG (L),0.555,0
IL10,OPG (L),-0.039,0.631477474832204
IL12,OPG (L),-0.103,0.193648410142605
IL13 (L),OPG (L),0.633,0
IL21 (L),OPG (L),0.518,0
INFG,OPG (L),-0.075,0.335298624502429
TNFA,OPG (L),0.013,0.874593321027384
MIF (L),OPG (L),0.224,0.000630222953025602
MCP1 (L),OPG (L),0.499,0
MIP1a (L),OPG (L),0.39,4.65011661996478e-09
RANTES (L),OPG (L),0.3,5.07615560502023e-06
MIG (L),OPG (L),0.434,1.00495889489609e-11
IP10 (L),OPG (L),0.649,0
Eotaxin1 (L),OPG (L),0.347,8.06128178051292e-08
TARC (L),OPG (L),0.574,0
PARC (L),OPG (L),0.368,1.1518666644038e-08
MDC (L),OPG (L),0.483,0
PCSK9 (RNA),sICAM1 (L),0.039,0.557612748289107
IL2,sICAM1 (L),0.072,0.344959300085373
IL4,sICAM1 (L),0.103,0.199121789669238
IL5,sICAM1 (L),0.021,0.784695831390709
IL6,sICAM1 (L),0.053,0.476244254922073
