Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TLE5	0.00481612605700625	-0.305777566798053	0.535	0.657	1
SUN1	0.018678176922139	-0.665943061640607	0.054	0.126	1
PIP5K1C	0.0428202154396317	-0.272726917196057	0.078	0.144	1
GNA11	0.0496457805375153	-0.473651357061795	0.023	0.068	1
FAM98B	0.051078805352432	-3.41261414002018	0	0.029	1
MDFIC	0.0809871002489022	-0.673940109098928	0.217	0.287	1
ADAP1	0.155297538493595	-2.77990500416549	0.016	0.04	1
MPND	0.163303436831977	-0.530632926531832	0.023	0.051	1
BAHD1	0.209420608724022	0.788312288680209	0.039	0.069	1
GPR176	0.283011284367425	-0.258905784255819	0.008	0.022	1
KNL1	0.346214278001989	-0.477210654938761	0.016	0.008	1
CHAF1A	0.521436362878035	-0.206384494131012	0.023	0.034	1
ZFAND2A	0.791310633503743	0.99607895016333	0.039	0.044	1
