Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SUN1	1.06725641182556e-97	1.99079091728825	0.481	0.092	2.14635936982239e-93
GNA11	3.96562114753947e-83	2.56391941939259	0.31	0.045	7.97526068981663e-79
PIP5K1C	5.91973842595964e-33	0.968738826593355	0.363	0.122	1.19051859484474e-28
GPR176	8.00374379166482e-20	1.60054930502414	0.088	0.015	1.60963291394171e-15
BAHD1	9.57283969306001e-11	0.410108088226968	0.154	0.061	1.9251937906713e-06
ZFAND2A	4.63488690547063e-10	0.685164587268948	0.11	0.038	9.32122105559199e-06
ADAP1	6.2593401740748e-05	-5.65067805025661	0	0.042	1
NDUFA11	0.000585300018452033	-0.192235362752708	0.459	0.311	1
FAM98B	0.0261194090964622	-0.186184091516197	0.047	0.026	1
TLE5	0.101923970597259	-0.5581554358182	0.786	0.642	1
MDFIC	0.112190436916425	-0.744408552999087	0.371	0.278	1
MPND	0.278769825504159	-0.873456182260435	0.063	0.049	1
CHAF1A	0.417434318864298	-0.666235536299924	0.041	0.033	1
