Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TLE5	6.32820319881972e-54	-1.43866262342863	0.559	0.675	1.27266494531463e-49
ADAP1	4.94163484626095e-21	1.11041365657541	0.097	0.025	9.93812183931539e-17
MPND	6.27223692588185e-18	0.830110233850358	0.11	0.036	1.2614095681641e-13
CHAF1A	6.04384848433683e-07	0.180673277388819	0.062	0.027	0.0121547836868498
SUN1	1.27479203604243e-05	-1.67348581189315	0.083	0.133	0.256373426368492
GPR176	2.46889803633315e-05	-2.88172204097543	0.002	0.026	0.496520084086959
FAM98B	6.049512092322e-05	-0.199860249246356	0.049	0.023	1
BAHD1	0.0542420714037296	-0.565835612292489	0.086	0.065	1
ZFAND2A	0.0575815749529829	-0.348054669447073	0.057	0.041	1
MDFIC	0.0656377325965351	-0.917728483156326	0.294	0.283	1
KNL1	0.0741736700727339	-0.452283069151204	0.013	0.007	1
