Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MDFIC	0.000235970949723793	-3.52100898313657	0.073	0.288	1
TLE5	0.00171717719846911	-1.16353379051886	0.6	0.654	1
BAHD1	0.0232751198131931	0.842527958367004	0.145	0.068	1
NDUFA11	0.0456296470518747	0.214587042981881	0.473	0.322	1
CHAF1A	0.165025028402989	-2.79825139976505	0	0.034	1
GPR176	0.270569332091237	-1.52544854811048	0	0.022	1
ZFAND2A	0.34375864464874	-1.32997674555086	0.018	0.045	1
KNL1	0.401711070028616	1.03577685619214	0.018	0.008	1
ADAP1	0.421860006711207	-1.14193595554645	0.018	0.039	1
MPND	0.43387625246836	0.201962258310652	0.073	0.05	1
FAM98B	0.658825999891674	-0.697382994274869	0.018	0.028	1
GNA11	0.722265445303746	-0.37239917263062	0.055	0.067	1
SUN1	0.957605143289359	-0.190340960346823	0.127	0.124	1
