Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TLE5	2.34954926111085e-08	0.489222999371747	0.718	0.648	0.000472517851902002
GNA11	1.52869375845931e-06	-2.53985051971525	0.006	0.072	0.0307435601763753
ADAP1	0.00135678720391842	1.08923919702086	0.07	0.036	1
GPR176	0.0035731635311824	-4.33096163213551	0	0.023	1
MDFIC	0.00381865519017921	-0.430881551284522	0.212	0.292	1
SUN1	0.0098358799593622	-0.479690326765742	0.078	0.128	1
NDUFA11	0.0106082502238548	-0.10256957378896	0.243	0.33	1
ZFAND2A	0.019801602195422	-0.799325632445186	0.02	0.046	1
PIP5K1C	0.0615649151350088	0.181983771710369	0.103	0.145	1
FAM98B	0.190336049119126	-0.55693796770798	0.017	0.029	1
BAHD1	0.250385239357651	-0.239047364243161	0.053	0.07	1
