Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GPR176	1.8845811025529e-115	5.2745792263858	0.227	0.01	3.79008105534414e-111
GNA11	5.26010592361239e-98	3.23407692447173	0.393	0.048	1.05785990229769e-93
SUN1	1.94722178758294e-11	0.571214766302674	0.273	0.115	3.91605773700806e-07
PIP5K1C	0.0002329929033775	0.100710452921674	0.231	0.137	1
TLE5	0.000864163793032395	-0.723750537439451	0.698	0.651	1
NDUFA11	0.00113956949310778	-0.289606054226084	0.475	0.315	1
ADAP1	0.00388358788329447	-4.69389376324184	0.004	0.041	1
FAM98B	0.0366405999072958	0.243678396102573	0.05	0.027	1
MDFIC	0.0691149793223998	-1.17114491679328	0.269	0.286	1
CHAF1A	0.165358103467381	-0.205413139583713	0.05	0.033	1
MPND	0.401123657377626	-0.474312624337613	0.062	0.049	1
