Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GNA11	2.6897166676353e-72	-3.90403157626171	0.006	0.142	5.40928919028135e-68
TLE5	1.1538793186135e-39	0.85819488662376	0.66	0.646	2.32056669766361e-35
PIP5K1C	4.30617159988848e-29	-0.412016930358988	0.085	0.212	8.66014170453572e-25
GPR176	3.33422754100652e-23	-4.40277287850749	0.002	0.045	6.70546500771821e-19
SUN1	2.32870533222051e-19	-0.275635683835255	0.08	0.178	4.68325929362867e-15
MPND	1.18273176041116e-12	-0.221997292124601	0.028	0.076	2.37859184336289e-08
NDUFA11	6.24043824056622e-12	0.125018755034116	0.256	0.407	1.25501453456027e-07
ADAP1	6.5282461944101e-07	-0.287315490948897	0.026	0.055	0.0131289559215782
CHAF1A	6.86763109047057e-06	0.233129000801156	0.022	0.047	0.138114928860454
MDFIC	1.12978670295371e-05	1.16504058302861	0.29	0.279	0.22721140383102
FAM98B	0.000112352613602329	0.537665255082745	0.019	0.039	1
